area_type,availability,location,bath,balcony,price,total_sqft,bhk
Super built-up  Area,19-Sep,Kanakpura Road,2.0,2.0,91.79,1330.74,2.0
Plot  Area,Ready To Move,HSR Layout,9.0,2.0,200.0,600.0,8.0
Super built-up  Area,Ready To Move,Doddathoguru,2.0,0.0,33.0,970.0,2.0
Super built-up  Area,20-Sep,Whitefield,2.0,1.0,94.82,1459.0,2.0
Plot  Area,Ready To Move,KR Puram,1.0,1.0,130.0,800.0,2.0
Built-up  Area,Ready To Move,Himagiri Meadows,2.0,1.0,36.0,869.0,2.0
Super built-up  Area,Ready To Move,Adarsh Nagar,2.0,1.0,50.0,1270.0,2.0
Super built-up  Area,18-Mar,Bhoganhalli,3.0,1.0,99.0,1670.0,3.0
Built-up  Area,Ready To Move,Whitefield,3.0,2.0,91.0,2010.0,3.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,2.0,75.0,1185.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2.0,3.0,75.0,1600.0,3.0
Super built-up  Area,Ready To Move,Begur Road,2.0,2.0,44.0,1200.0,2.0
Built-up  Area,20-Feb,Devanahalli,2.0,2.0,192.0,3210.0,4.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2.0,2.0,185.0,1500.0,2.0
Plot  Area,Ready To Move,Murugeshpalya,4.0,1.0,150.0,1407.0,6.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2.0,2.0,45.0,840.0,2.0
Plot  Area,Ready To Move,Tharabanahalli,3.0,2.0,240.0,4395.0,3.0
Super built-up  Area,Ready To Move,Ganga Nagar,2.0,1.0,55.0,845.0,2.0
Plot  Area,Ready To Move,Whitefield,5.0,3.0,650.0,5700.0,4.0
Built-up  Area,Ready To Move,Varthur,2.0,2.0,44.0,1160.0,2.0
Built-up  Area,Ready To Move,Bommanahalli,8.0,0.0,140.0,3000.0,8.0
Super built-up  Area,Ready To Move,Doddathoguru,2.0,1.0,62.0,1100.0,2.0
Super built-up  Area,18-Apr,Gunjur,2.0,3.0,43.0,1140.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,2.0,1.0,57.0,1220.0,2.0
Plot  Area,Ready To Move,Devarachikkanahalli,7.0,0.0,85.0,1350.0,8.0
Super built-up  Area,Ready To Move,Kanakpura Road,2.0,1.0,36.68,1005.0,2.0
Plot  Area,Ready To Move,Double Road,3.0,2.0,100.0,500.0,3.0
Super built-up  Area,20-Aug,Begur Road,2.0,1.0,80.58,1358.0,2.0
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,1.0,101.0,1569.0,3.0
Super built-up  Area,18-Apr,Haralur Road,2.0,1.0,70.0,1240.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,3.0,2.0,140.0,2089.0,3.0
Super built-up  Area,Ready To Move,Kothannur,2.0,1.0,48.23,1206.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,3.0,40.0,1150.0,2.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3.0,3.0,205.0,2511.0,3.0
Built-up  Area,Ready To Move,Kaval Byrasandra,1.0,0.0,22.0,460.0,2.0
Built-up  Area,Ready To Move,ISRO Layout,6.0,3.0,250.0,4400.0,6.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,2.0,2.0,105.0,1660.0,3.0
Built-up  Area,18-Oct,Hennur Road,2.0,2.0,224.5,3203.5,4.0
Super built-up  Area,19-Mar,Yelahanka,2.0,2.0,78.0,1326.0,2.0
Super built-up  Area,Ready To Move,Garudachar Palya,2.0,2.0,60.8,1325.0,3.0
Super built-up  Area,Ready To Move,EPIP Zone,5.0,2.0,102.0,1499.0,3.0
Built-up  Area,Ready To Move,Hegde Nagar,7.0,2.0,210.0,3000.0,6.0
Super built-up  Area,Ready To Move,Kanakpura Road,3.0,2.0,88.0,1665.0,3.0
Super built-up  Area,17-Sep,Dasanapura,2.0,2.0,37.0,708.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,2.0,2.0,58.06,1060.0,2.0
Plot  Area,Ready To Move,Rajaji Nagar,6.0,3.0,160.0,710.0,6.0
Built-up  Area,Ready To Move,Sanjay nagar,2.0,2.0,70.0,1000.0,2.0
Super built-up  Area,18-Dec,Electronic City,2.0,1.0,28.88,1000.0,2.0
Super built-up  Area,Ready To Move, Mysore Highway,2.0,2.0,70.0,1450.0,3.0
Plot  Area,Ready To Move,ISRO Layout,4.0,2.0,155.0,1200.0,4.0
Super built-up  Area,17-Aug,Thanisandra,2.0,3.0,80.0,1296.0,2.0
Super built-up  Area,Ready To Move,Domlur,3.0,2.0,90.0,1540.0,3.0
Plot  Area,Ready To Move,Kengeri,4.0,1.0,245.0,2894.0,4.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2.0,1.0,48.0,1330.0,3.0
Built-up  Area,Ready To Move,Devasthanagalu,2.0,1.0,65.0,1200.0,2.0
Built-up  Area,Ready To Move,T Dasarahalli,3.0,1.0,90.0,1200.0,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3.0,3.0,138.0,2502.0,3.0
Built-up  Area,Ready To Move,Chandapura,1.0,1.0,17.0,650.0,2.0
Plot  Area,Ready To Move,Kothanur,2.0,1.0,150.0,2400.0,3.0
Super built-up  Area,Ready To Move,Green View Layout,2.0,2.0,43.0,1007.0,2.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2.0,2.0,50.0,1200.0,2.0
Super built-up  Area,Ready To Move,Peenya,2.0,2.0,49.9,966.0,2.0
Built-up  Area,Ready To Move,Nagarbhavi,2.0,1.0,98.0,1630.0,3.0
Built-up  Area,Ready To Move,Rajaji Nagar,3.0,2.0,229.0,1640.0,3.0
Built-up  Area,Ready To Move,Jalahalli West,2.0,2.0,55.68,782.0,2.0
Super built-up  Area,19-Apr,Devanahalli,2.0,2.0,66.78,1260.0,2.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3.0,3.0,120.0,1800.0,3.0
Super built-up  Area,Ready To Move,Byatarayanapura,2.0,2.0,75.0,1413.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,51.91,1116.0,2.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,45.9,1530.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,4.0,1.0,225.0,3700.0,4.0
Built-up  Area,Ready To Move,Sarjapur  Road,3.0,2.0,140.0,2497.0,3.0
Super built-up  Area,Ready To Move,Kengeri,2.0,3.0,64.0,1540.0,3.0
Super built-up  Area,18-Dec,Thanisandra,3.0,1.0,74.75,1436.0,3.0
Super built-up  Area,18-Jun,Malleshwaram,2.0,2.0,75.0,1100.0,2.0
Plot  Area,Ready To Move,Hennur Road,3.0,3.0,23.0,276.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3.0,2.0,120.0,1427.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1.0,200.0,2061.0,3.0
Super built-up  Area,18-Mar,Hebbal,4.0,0.0,477.0,5611.5,4.0
Built-up  Area,Ready To Move,Shampura,4.0,2.0,150.0,2650.0,4.0
Super built-up  Area,22-Dec,Devanahalli,2.0,2.0,68.52,1282.0,3.0
Built-up  Area,Ready To Move,Kadugodi,2.0,1.0,34.0,1050.0,2.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3.0,2.0,65.0,1600.0,3.0
Super built-up  Area,22-Jan,Vajarahalli,2.0,1.0,54.0,945.0,2.0
Super built-up  Area,Ready To Move,Hormavu,2.0,1.0,78.0,1500.0,2.0
Plot  Area,Ready To Move,Vishwapriya Layout,7.0,0.0,115.0,950.0,7.0
Built-up  Area,Ready To Move,Peenya,3.0,3.0,110.0,1870.0,3.0
Plot  Area,Ready To Move,Sarjapur,3.0,1.0,75.0,1600.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1.0,1.0,16.5,880.0,2.0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4.0,0.0,210.0,1200.0,4.0
Super built-up  Area,Ready To Move,Kudlu Gate,3.0,2.0,83.0,1535.0,3.0
Built-up  Area,Ready To Move,Kanakpura Road,2.0,1.0,57.0,950.0,2.0
Super built-up  Area,18-Aug,Devanahalli,2.0,1.0,65.0,1360.0,2.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2.0,0.0,54.005,1073.5,2.0
Super built-up  Area,18-May,Bommasandra Industrial Area,3.0,1.0,50.4,1280.0,3.0
Super built-up  Area,19-Jan,Chandra Layout,2.0,2.0,85.05,1260.0,3.0
Built-up  Area,Ready To Move,Hennur Road,8.0,2.0,250.0,5000.0,8.0
Super built-up  Area,19-Dec,Yelahanka,5.0,1.0,213.0,3050.0,5.0
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1.0,105.0,1563.05,3.0
Super built-up  Area,Ready To Move,ISRO Layout,2.0,1.0,60.0,1000.0,2.0
Super built-up  Area,17-Jul,Anandapura,2.0,1.0,43.76,1167.0,2.0
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7.0,2.0,225.0,4000.0,7.0
Super built-up  Area,Ready To Move,Kothanur,3.0,2.0,110.0,1828.0,3.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2.0,1.0,35.0,890.0,2.0
Super built-up  Area,Ready To Move,Basavanapura,3.0,3.0,46.74,1612.0,3.0
Plot  Area,Ready To Move,Dinnur,5.0,2.0,185.0,1034.0,6.0
Super built-up  Area,19-Apr,Mysore Road,4.0,2.0,91.31,1710.0,3.0
Super built-up  Area,Ready To Move,Kannamangala,2.0,1.0,58.0,957.0,2.0
Super built-up  Area,18-May, Devarachikkanahalli,2.0,3.0,44.0,1250.0,3.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,4.0,2.0,235.0,2795.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,2.0,2.0,50.0,1125.0,2.0
Super built-up  Area,18-Jul,Electronic City Phase II,2.0,1.0,30.6,1020.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,50.0,1200.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3.0,3.0,135.0,1735.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3.0,1.0,145.0,2050.0,3.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4.0,0.0,760.0,3750.0,4.0
Built-up  Area,Ready To Move,Yarandahalli,2.0,3.0,48.0,1350.0,3.0
Super built-up  Area,18-May,Hosa Road,2.0,1.0,32.0,1063.0,2.0
Super built-up  Area,Ready To Move,Keshava Nagar,3.0,1.0,150.0,1904.0,3.0
Built-up  Area,Ready To Move,Whitefield,4.0,2.0,420.0,4200.0,4.0
Super built-up  Area,Ready To Move,RMV Extension,3.0,1.0,175.0,2000.0,3.0
Super built-up  Area,18-Dec,Sarjapur,2.0,0.0,43.49,1242.5,2.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,2.0,2.0,75.0,1425.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,64.5,1500.0,3.0
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,60.0,1060.0,2.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,2.0,2.0,70.0,1470.0,3.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6.0,0.0,99.0,1300.0,6.0
Super built-up  Area,Ready To Move,Attibele,1.0,1.0,11.0,450.0,1.0
Super built-up  Area,18-Apr,Electronic City,2.0,1.0,64.5,1152.0,2.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,56.0,1350.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3.0,3.0,65.0,1550.0,3.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3.0,2.0,100.0,1500.0,3.0
Plot  Area,Ready To Move,Kumaraswami Layout,3.0,2.0,85.0,600.0,5.0
Plot  Area,Ready To Move,Nagavara,1.0,0.0,14.0,400.0,1.0
Super built-up  Area,Ready To Move,Malleshwaram,1.0,2.0,67.0,705.0,1.0
Built-up  Area,Ready To Move,Electronic City,1.0,1.0,36.0,770.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,2.0,3.0,51.0,1242.0,2.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3.0,2.0,155.0,1700.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3.0,2.0,145.0,2144.0,3.0
Super built-up  Area,21-Jun,Vijayanagar,3.0,2.0,110.0,1704.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,52.0,1070.0,2.0
Plot  Area,Ready To Move,8th block Koramangala,3.0,2.0,300.0,1846.0,3.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2.0,2.0,55.7,1340.0,2.0
Built-up  Area,Ready To Move,Electronic City,2.0,1.0,46.0,1025.0,2.0
Super built-up  Area,Ready To Move,KR Puram,2.0,0.0,56.8,1277.5,2.0
Super built-up  Area,Ready To Move,Marathahalli,2.0,2.0,52.0,1200.0,2.0
Built-up  Area,18-Dec,Kanakpura Road,4.0,1.0,110.0,2250.0,4.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2.0,3.0,80.0,1550.0,3.0
Plot  Area,Ready To Move,Bellandur,5.0,2.0,325.0,1200.0,4.0
Plot  Area,Ready To Move,Ejipura,7.0,1.0,250.0,1800.0,7.0
Super built-up  Area,Ready To Move,Marathahalli,2.0,2.0,60.0,1200.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2.0,2.0,98.0,1327.0,2.0
Super built-up  Area,Ready To Move,Kothanur,2.0,2.0,58.0,1186.0,2.0
Built-up  Area,Ready To Move,MS Pallya,3.0,1.0,115.0,1783.0,3.0
Super built-up  Area,Ready To Move,HSR Layout,3.0,2.0,56.0,1400.0,3.0
Super built-up  Area,Ready To Move,Nagasandra,2.0,1.0,48.0,980.0,2.0
Super built-up  Area,Ready To Move,EPIP Zone,2.0,2.0,82.0,1285.0,2.0
Super built-up  Area,Ready To Move,Langford Town,2.0,1.0,70.0,912.0,3.0
Built-up  Area,Ready To Move,Whitefield,2.0,2.0,47.6,1225.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,53.0,1075.0,2.0
Built-up  Area,Ready To Move,Kadugodi,2.0,2.0,54.0,1260.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,2.0,2.0,48.7,1282.0,3.0
Super built-up  Area,Ready To Move,Kogilu,3.0,2.0,88.0,1909.0,3.0
Super built-up  Area,Ready To Move,Panathur,2.0,1.0,87.0,1359.0,2.0
Built-up  Area,Ready To Move,Nagondanahalli,2.0,2.0,43.5,1207.0,2.0
Plot  Area,Ready To Move,Padmanabhanagar,6.0,0.0,190.0,1736.0,4.0
Super built-up  Area,20-May,1st Block Jayanagar,4.0,1.0,428.0,2850.0,4.0
Super built-up  Area,Ready To Move,Kammasandra,3.0,2.0,65.0,1595.0,3.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3.0,2.0,89.0,1798.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,2.0,78.29,1475.0,3.0
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3.0,3.0,100.0,1580.0,3.0
Super built-up  Area,Ready To Move,Dasarahalli,2.0,1.0,65.0,1295.0,2.0
Built-up  Area,Ready To Move,Magadi Road,6.0,0.0,141.0,3600.0,6.0
Super built-up  Area,Ready To Move,Electronic City,1.0,1.0,27.0,589.0,1.0
Super built-up  Area,Ready To Move,Ngef Layout,3.0,3.0,78.0,1415.0,3.0
Super built-up  Area,18-Dec,Sarjapur  Road,3.0,2.0,98.29,1787.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,2.0,125.0,1787.0,3.0
Super built-up  Area,Ready To Move,Koramangala,2.0,3.0,90.0,1475.0,3.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4.0,1.0,75.5,2000.0,4.0
Super built-up  Area,19-Mar,Sarjapur  Road,2.0,1.0,44.28,984.0,2.0
Super built-up  Area,19-Dec,Devanahalli,2.0,2.0,74.82,1630.0,3.0
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,4.0,2.0,260.0,2405.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,72.0,1080.0,2.0
Plot  Area,Ready To Move,Shantiniketan Layout,2.0,1.0,115.0,1500.0,2.0
Super built-up  Area,Ready To Move,Hebbal,3.0,2.0,119.0,1900.0,3.0
Super built-up  Area,19-Aug,Dommasandra,2.0,1.0,22.14,805.0,2.0
Super built-up  Area,Ready To Move,Budigere,2.0,2.0,56.4,1153.0,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2.0,2.0,60.0,1148.0,2.0
Super built-up  Area,Ready To Move,Mylasandra,2.0,2.0,55.0,1110.0,2.0
Built-up  Area,Ready To Move,Electronic City,2.0,2.0,42.0,1100.0,2.0
Super built-up  Area,Ready To Move,Kalyan nagar,2.0,2.0,110.0,1290.0,2.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2.0,1.0,65.0,1500.0,3.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2.0,2.0,39.0,1080.0,2.0
Super built-up  Area,21-Jun,Vijayanagar,3.0,1.0,129.0,1933.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5.0,2.0,150.0,3500.0,5.0
Built-up  Area,Ready To Move,Kullappa Colony,2.0,2.0,60.0,1060.0,2.0
Super built-up  Area,18-Aug,Chandapura,1.0,1.0,16.45,645.0,1.0
Plot  Area,Ready To Move,Mukkutam Nagar,8.0,2.0,180.0,2600.0,8.0
Super built-up  Area,18-Sep,Chandapura,1.0,1.0,16.45,645.0,1.0
Super built-up  Area,Ready To Move,Ashwath Nagar,3.0,3.0,84.0,1644.0,3.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2.0,3.0,72.5,1285.0,2.0
Plot  Area,Ready To Move,Electronic City,3.0,1.0,90.0,1200.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,40.0,910.0,2.0
Super built-up  Area,Ready To Move,Kothanur,3.0,1.0,70.0,1577.0,3.0
Plot  Area,17-May,Meenakunte,3.0,2.0,280.0,4050.0,3.0
Super built-up  Area,Ready To Move,OMBR Layout,3.0,2.0,185.0,2420.0,3.0
Super built-up  Area,Ready To Move,Chandapura,1.0,1.0,20.0,800.0,2.0
Built-up  Area,Ready To Move,Anand Nagar,2.0,2.0,55.0,1060.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,2.0,93.0,1270.0,2.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2.0,2.0,22.5,900.0,2.0
Built-up  Area,Ready To Move,Kundalahalli Colony,2.0,1.0,69.0,1280.0,2.0
Plot  Area,Ready To Move,Horamavu Agara,2.0,0.0,95.0,1200.0,4.0
Built-up  Area,Ready To Move,Sarjapur  Road,2.0,2.0,36.0,1025.0,2.0
Super built-up  Area,17-Jun,Electronic City,2.0,1.0,63.0,1108.0,2.0
Plot  Area,Ready To Move,MCECHS  layout,5.0,2.0,170.0,1200.0,5.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3.0,2.0,170.0,3045.0,3.0
Plot  Area,Ready To Move,Ambedkar Nagar,3.0,2.0,300.0,2900.0,4.0
Super built-up  Area,Ready To Move,Vijayanagar,3.0,2.0,75.5,1500.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,2.0,43.9,1295.0,2.0
Super built-up  Area,Ready To Move,Budigere,2.0,1.0,59.9,1162.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,2.0,49.2,1035.0,2.0
Built-up  Area,Ready To Move,Attibele,4.0,0.0,52.8,1600.0,4.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3.0,2.0,46.0,1464.0,3.0
Super built-up  Area,18-Oct,Hennur Road,2.0,2.0,61.58,1866.0,3.0
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,1.0,1.0,26.0,700.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3.0,2.0,120.0,1804.0,3.0
Super built-up  Area,Ready To Move,Sarjapur,2.0,1.0,32.0,913.0,2.0
Super built-up  Area,21-Dec,Talaghattapura,3.0,2.0,131.0,1868.0,3.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2.0,1.0,45.0,883.0,2.0
Plot  Area,Ready To Move,Sundara Nagar,2.0,1.0,110.0,900.0,2.0
Super built-up  Area,Ready To Move,Kogilu,2.0,3.0,73.95,1664.0,3.0
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,2.0,132.0,2026.0,3.0
Super built-up  Area,Ready To Move,Balagere,2.0,1.0,80.9,1210.0,2.0
Plot  Area,Ready To Move,Meenakunte,4.0,2.0,250.0,4111.0,4.0
Super built-up  Area,Ready To Move,Kadugodi,3.0,3.0,91.45,1762.0,3.0
Super built-up  Area,Ready To Move,Jigani,3.0,3.0,55.0,1252.0,3.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2.0,1.0,34.5,861.0,2.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,100.0,1420.0,3.0
Plot  Area,Ready To Move,Srirampura,6.0,0.0,250.0,1450.0,6.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3.0,1.0,78.8,1490.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2.0,1.0,46.0,1075.0,3.0
Super built-up  Area,18-Aug,Old Madras Road,2.0,2.0,94.0,1425.0,3.0
Built-up  Area,Ready To Move,Kalena Agrahara,2.0,1.0,40.0,1200.0,2.0
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,56.0,1280.0,3.0
Super built-up  Area,Ready To Move,Silver Springs Layout,2.0,2.0,50.0,1084.0,2.0
Super built-up  Area,18-Jul,Chandapura,2.0,2.0,25.88,1015.0,2.0
Super built-up  Area,21-May,Kanakpura Road,2.0,1.0,51.25,1017.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,2.0,2.0,44.0,1027.0,2.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,2.0,45.0,1069.0,2.0
Super built-up  Area,Ready To Move,Hebbal,2.0,1.0,98.2,1349.0,2.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2.0,1.0,50.0,1005.0,2.0
Super built-up  Area,Ready To Move,Jakkur,2.0,3.0,75.0,1417.0,2.0
Plot  Area,18-Jan,TC Palaya,3.0,1.0,98.0,1475.0,3.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,2.0,2.0,47.0,950.0,2.0
Super built-up  Area,Ready To Move,RMV 2nd Stage,4.0,0.0,120.0,2000.0,4.0
Plot  Area,Ready To Move,Giri Nagar,3.0,1.0,140.0,880.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,2.0,104.0,1863.0,4.0
Super built-up  Area,Ready To Move,Singasandra,2.0,1.0,29.5,1010.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1.0,70.0,1425.0,3.0
Super built-up  Area,Ready To Move,Vijayanagar,3.0,0.0,100.0,1450.0,3.0
Super built-up  Area,Ready To Move,Kothanur,3.0,2.0,105.0,1847.0,3.0
Super built-up  Area,Ready To Move,AECS Layout,2.0,3.0,45.0,1100.0,2.0
Super built-up  Area,20-Dec,Kanakpura Road,1.0,1.0,26.0,525.0,1.0
Super built-up  Area,Ready To Move,Mallasandra,3.0,2.0,95.0,1665.0,3.0
Super built-up  Area,Ready To Move,Begur,4.0,3.0,65.0,1664.0,4.0
Super built-up  Area,Ready To Move,JP Nagar,3.0,3.0,150.0,1850.0,3.0
Super built-up  Area,Ready To Move,Panathur,2.0,3.0,100.0,1438.0,2.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3.0,3.0,115.0,1560.0,3.0
